,Model,Train Accuracy,Test Accuracy
0,Logistic Regression,0.6742424242424242,0.656084656084656
1,Support Vector Classifier,0.7704545454545455,0.7266313932980599
2,KNeighbors Classifier,0.7484848484848485,0.7407407407407407
3,Gradient Boosting Classifier,0.8151515151515152,0.7354497354497355
4,Random Forest Classifier,0.7992424242424242,0.7407407407407407
5,XGB Classifier,0.7901515151515152,0.7319223985890653
6,Decision Tree Classifier,0.75,0.691358024691358
