,Model,Train R-square,Test R-square,Train MSE,Test MSE,Train MAE,Test MAE
0,Random Forest,0.9810378924773683,0.8121330503981324,23.000112741067934,199.79730463036955,3.126534843903917,8.213563309930429
1,XG Boost Regressor,0.9937363711718694,0.8408792450594946,7.597476654072506,169.22560362659175,1.8851371004480058,7.592617915966165
2,Linear Regression,0.8070963635045557,0.7698966571775268,233.9827143297111,244.71588951541167,10.421747219516996,9.948377613833557
3,Ridge Regression,0.8069927057387276,0.770506996743271,234.10844615027423,244.06679077609957,10.411907809536768,9.9459743394482
4,KNN Regressor,0.8308611115716324,0.7607565525664362,205.1572325548888,254.43642987232687,10.620404034997236,10.759736039723656
