Au,Az,B prime,B/G,Bulk modulus,C11,C12,C44,Composition,Crystal structure,EOS,Formation enthalpy,Group,Lattice constant,Poisson ratio,Shear modulus,Total energy,Wigner-Seitz radius,Youngs modulus
0.408728901,1.7782599325895316,6.364218968,1.962924966,227.5187133,337.0057237,172.7752081,146.0222728,Al0.05 Co0.25 Cr0.5 Mn0.2,bcc,birchmurnaghan,0.002317051564659778,training set,2.831552175,0.282254462,115.9080032,-2235.368578,2.634616497,297.2471084
2.7897091865317645,4.079637859406779,4.427844399019468,1.4311725265072184,138.83504674510752,194.16108561120188,111.17202731206034,169.28265207684709,Al0.03846154 Co0.23076923 Mn0.34615385 Ni0.38461538,fcc,birchmurnaghan,-0.00011303226847303449,training set,3.5622726708971375,0.2166345483005751,97.00790378077963,-2634.5150246398834,2.630732351979524,236.04633439582895
3.306752586093978,4.535126120850759,5.261057417170959,1.7998021634596417,178.5007074589717,231.3986522710442,152.05173505293544,179.92413844241392,Al0.04545455 Co0.36363636 Fe0.45454545 V0.13636364,fcc,birchmurnaghan,-0.003998362633410579,training set,3.551613072994447,0.2656032630127265,99.17796026861723,-2450.711050395433,2.6228602569288553,251.03990026981702
0.8234717412221002,2.2397475637640794,6.703001347216919,1.8052812520252637,174.25996200760804,253.67963571009162,134.55012515636625,133.4100155175568,Al0.03448276 Co0.34482759 Mn0.34482759 V0.27586207,bcc,birchmurnaghan,-0.005270456327707507,training set,2.8539330294446934,0.2662037828493714,96.52787443070915,-2301.006969636488,2.655440753677983,244.44791950914603
2.3566561716922756,3.6931053023591986,6.87884273243789,1.8877018562333636,229.21700732448878,302.91346929877227,192.36877633734704,204.12659586175454,Al0.05882353 Co0.58823529 Cr0.23529412 Ni0.11764706,fcc,birchmurnaghan,-0.004157491857768036,training set,3.520651869824092,0.2748797487096342,121.42648828128941,-2521.830264666258,2.5999954606705864,309.6083417334872
2.071397375144695,3.435047707354508,5.5505922066658435,1.2337674104701517,158.3055390260361,239.75019256247666,117.5832122578158,209.8247028049743,Al0.04761905 Co0.47619048 Fe0.28571429 Mn0.19047619,fcc,birchmurnaghan,-0.0016528983082935156,training set,3.5153279499379892,0.18093946609555045,128.31068293959117,-2518.232699306708,2.5960637548250056,303.05429881007245
0.4485039883154185,1.8261545437250188,3.9771974340405545,2.3543403654030794,136.61144586377296,190.55845226928102,109.63794266101893,73.88667815083593,Al0.04545455 Cr0.04545455 Nb0.45454545 Ti0.45454545,bcc,birchmurnaghan,0.0035375149118408444,training set,3.2818038088520987,0.31396551216947544,58.025359404813216,-4363.276996977288,3.0535529354370134,152.48664217832658
0.12575091756147216,1.3803257732018233,4.99543181556203,1.81379747378605,222.0179277785482,356.55152460023595,154.75112936770432,139.27514329088888,Al0.05555556 Cr0.55555556 Fe0.27777778 Mn0.11111111,bcc,birchmurnaghan,0.0017406992201358662,training set,2.8428801117545306,0.2671310949746904,122.40502646368594,-2158.6842582361087,2.6451565711906255,310.2064304266726
0.05672913522324663,0.8049295867094153,5.769574651150101,2.396186470138232,188.2424016811251,307.5418924721895,128.5926562855929,72.02076736282136,Al0.04 Cr0.4 Mn0.16 Ti0.4,bcc,birchmurnaghan,0.00205912911201267,training set,2.9919446228925706,0.3168175957675521,78.55916224677861,-1913.9581874188882,2.7838535811481635,206.89617431063212
3.5634973625894393,4.759473878792985,4.9505273207475,2.2952966255535654,176.17303565269432,215.86536113884722,156.3268729096179,141.6859397549203,Al0.07692308 Cu0.07692308 Mn0.07692308 Ni0.76923077,fcc,birchmurnaghan,-0.00509144790839855,training set,3.559665759061707,0.30978684416587626,76.75392961909924,-2812.3099379136393,2.6288071519912544,201.06257450625955
0.11095195518959677,1.3537965169463775,6.324032793099712,1.8835742221087344,198.9368222067361,316.37484490776654,140.2178108562209,119.24038956729346,Al0.03846154 Fe0.38461538 Mn0.19230769 V0.38461538,bcc,birchmurnaghan,-0.006558565770774294,training set,2.8762614452957966,0.27446059995934463,105.61666212654929,-2174.323639067374,2.6762162185555267,269.2085491590108
0.022664387099077032,1.1471975103190986,4.20835453102057,2.1063363331050358,211.23867792389927,334.3815876652739,149.66722305321196,105.95192960156584,Al0.05 Hf0.3 Mo0.15 W0.5,bcc,birchmurnaghan,0.005563717346376507,training set,3.271818052066549,0.29505422111922996,100.28724976343344,-26464.174078567656,3.044261692352089,259.7548522611459
0.9377199094734436,2.357201363451882,3.665209113335365,2.3206670070060045,137.13630526670622,184.28689995114178,113.56100792448842,83.35758455828893,Al0.04545455 Hf0.45454545 Nb0.36363636 Ni0.13636364,bcc,birchmurnaghan,0.012832305877964245,training set,3.372967519591774,0.3116051484996906,59.09348685214078,-16926.21151257232,3.138376170690627,155.01464319613325
1.2560690997985988,2.672549735199471,4.168988620834193,2.217400965867387,108.8137948211109,145.11553360241805,90.66292543045734,72.76365177544709,Al0.05263158 Mn0.15789474 Nb0.26315789 Zr0.52631579,bcc,birchmurnaghan,0.01433493836884736,training set,3.4317919526849425,0.30397801521049195,49.072674043210725,-6194.963772734031,3.193109339036206,127.9793761998747
0.21218617994303468,1.5181065044323934,6.454903726631564,2.1467498691760456,190.3229428414104,282.37256782695385,144.29813034863867,104.80585081583706,Al0.05263158 Mn0.15789474 Ni0.26315789 V0.52631579,bcc,birchmurnaghan,-0.003447651835358556,training set,2.913269993953598,0.2983938605389957,88.65631975767124,-2193.080762284236,2.7106508066577994,230.22164254268483
