,Au,Az,B prime,B/G,Bulk modulus,C11,C12,C44,Crystal structure,Formation enthalpy,Lattice constant,Poisson ratio,Shear modulus,Total energy,Wigner-Seitz radius,Youngs modulus,Co,Cr,Zr,Fe,Al,Mo,Ta,Cu,W,V,Mn,Hf,Pt,Nb,Ni
0,0.408728901,1.7782599325895316,6.364218968,1.962924966,227.5187133,337.0057237,172.7752081,146.0222728,0,0.0023170515646597,2.831552175,0.282254462,115.9080032,-2235.368578,2.634616497,297.2471084,0.25,0.5,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
1,2.7897091865317645,4.079637859406779,4.427844399019468,1.4311725265072184,138.83504674510752,194.16108561120188,111.17202731206034,169.28265207684709,1,-0.000113032268473,3.5622726708971375,0.2166345483005751,97.00790378077964,-2634.515024639883,2.630732351979524,236.04633439582895,0.23076923,0.0,0.0,0.0,0.03846154,0.0,0.0,0.0,0.0,0.0,0.34615385,0.0,0.0,0.0,0.38461538
2,3.306752586093978,4.535126120850759,5.261057417170959,1.7998021634596415,178.5007074589717,231.3986522710442,152.05173505293544,179.92413844241392,1,-0.0039983626334105,3.551613072994447,0.2656032630127265,99.17796026861724,-2450.711050395433,2.6228602569288553,251.03990026981705,0.36363636,0.0,0.0,0.45454545,0.04545455,0.0,0.0,0.0,0.0,0.13636364,0.0,0.0,0.0,0.0,0.0
3,0.8234717412221002,2.2397475637640794,6.703001347216919,1.8052812520252637,174.25996200760804,253.6796357100916,134.55012515636625,133.4100155175568,0,-0.0052704563277075,2.8539330294446934,0.2662037828493714,96.52787443070916,-2301.006969636488,2.655440753677983,244.44791950914603,0.34482759,0.0,0.0,0.0,0.03448276,0.0,0.0,0.0,0.0,0.27586207,0.34482759,0.0,0.0,0.0,0.0
4,2.3566561716922756,3.693105302359198,6.87884273243789,1.8877018562333636,229.2170073244888,302.91346929877227,192.36877633734704,204.12659586175457,1,-0.004157491857768,3.520651869824092,0.2748797487096342,121.4264882812894,-2521.830264666258,2.5999954606705864,309.6083417334872,0.58823529,0.23529412,0.0,0.0,0.05882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706
5,2.071397375144695,3.435047707354508,5.5505922066658435,1.2337674104701517,158.3055390260361,239.75019256247663,117.5832122578158,209.8247028049743,1,-0.0016528983082935,3.5153279499379892,0.1809394660955504,128.31068293959115,-2518.232699306708,2.5960637548250056,303.05429881007245,0.47619048,0.0,0.0,0.28571429,0.04761905,0.0,0.0,0.0,0.0,0.0,0.19047619,0.0,0.0,0.0,0.0
6,0.4485039883154185,1.8261545437250188,3.9771974340405545,2.354340365403079,136.61144586377296,190.55845226928105,109.63794266101893,73.88667815083593,0,0.0035375149118408,3.2818038088520987,0.3139655121694754,58.025359404813216,-4363.276996977288,3.0535529354370134,152.48664217832658,0.0,0.04545455,0.0,0.0,0.04545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545,0.45454545,0.0
7,0.1257509175614721,1.3803257732018233,4.99543181556203,1.81379747378605,222.0179277785482,356.55152460023595,154.75112936770432,139.27514329088888,0,0.0017406992201358,2.8428801117545306,0.2671310949746904,122.40502646368594,-2158.6842582361087,2.6451565711906255,310.2064304266726,0.0,0.55555556,0.0,0.27777778,0.05555556,0.0,0.0,0.0,0.0,0.0,0.11111111,0.0,0.0,0.0,0.0
8,0.0567291352232466,0.8049295867094153,5.769574651150101,2.396186470138232,188.2424016811251,307.5418924721895,128.5926562855929,72.02076736282136,0,0.0020591291120126,2.9919446228925706,0.3168175957675521,78.55916224677861,-1913.958187418888,2.7838535811481635,206.89617431063212,0.0,0.4,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.4,0.0,0.0
9,3.5634973625894393,4.759473878792985,4.9505273207475,2.2952966255535654,176.17303565269432,215.8653611388472,156.3268729096179,141.6859397549203,1,-0.0050914479083985,3.559665759061707,0.3097868441658762,76.75392961909924,-2812.3099379136393,2.6288071519912544,201.06257450625955,0.0,0.0,0.0,0.0,0.07692308,0.0,0.0,0.07692308,0.0,0.0,0.07692308,0.0,0.0,0.0,0.76923077
10,0.1109519551895967,1.3537965169463777,6.324032793099712,1.8835742221087344,198.9368222067361,316.37484490776654,140.2178108562209,119.24038956729346,0,-0.0065585657707742,2.8762614452957966,0.2744605999593446,105.61666212654929,-2174.323639067374,2.6762162185555267,269.2085491590108,0.0,0.0,0.0,0.38461538,0.03846154,0.0,0.0,0.0,0.0,0.38461538,0.19230769,0.0,0.0,0.0,0.0
11,0.022664387099077,1.1471975103190986,4.20835453102057,2.106336333105036,211.23867792389927,334.3815876652739,149.66722305321196,105.95192960156584,0,0.0055637173463765,3.271818052066549,0.2950542211192299,100.28724976343344,-26464.174078567656,3.044261692352089,259.7548522611459,0.0,0.0,0.0,0.0,0.05,0.15,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.0
12,0.9377199094734436,2.357201363451882,3.665209113335365,2.3206670070060045,137.13630526670622,184.28689995114175,113.56100792448842,83.35758455828893,0,0.0128323058779642,3.372967519591774,0.3116051484996906,59.09348685214078,-16926.21151257232,3.138376170690627,155.01464319613325,0.0,0.0,0.0,0.0,0.04545455,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545,0.0,0.36363636,0.13636364
